colour|color
normalised|normalized
normalising|normalizing
optimise|optimize
optimised|optimized
optimising|optimizing
patronise|patronize
patronised|patronized
patronising|patronizing
penalise|penalize
penalised|penalized
penalising|penalizing
personalise|personalize
personalised|personalized
personalising|personalizing
polarise|polarize
polarised|polarized
polarising|polarizing
prioritise|prioritize
prioritised|prioritized
prioritising|prioritizing
privatise|privatize
privatised|privatized
privatising|privatizing
publicise|publicize
publicised|publicized
rationalise|rationalize
rationalised|rationalized
revolutionise|revolutionize
revolutionised|revolutionized
satirise|satirize
satirised|satirized
specialise|specialize
specialised|specialized
specialising|specializing
stabilise|stabilize
stabilised|stabilized
stabilising|stabilizing
standardise|standardize
standardised|standardized
standardising|standardizing
subsidise|subsidize
subsidised|subsidized
subsidising|subsidizing
summarise|summarize
summarised|summarized
summarising|summarizing
symbolise|symbolize
symbolised|symbolized
sympathise|sympathize
sympathised|sympathized
sympathising|sympathizing
terrorise|terrorize
terrorised|terrorized
terrorising|terrorizing
trivialise|trivialize
trivialised|trivialized
utilise|utilize
utilised|utilized
utilising|utilizing
vandalise|vandalize
vandalised|vandalized
visualise|visualize
visualised|visualized
visualising|visualizing
vocalise|vocalize
vocalised|vocalized
civilisation|civilization
colonisation|colonization
organisation|organization
realisation|realization
specialisation|specialization
standardisation|standardization
globalisation|globalization
nationalisation|nationalization
privatisation|privatization
optimisation|optimization
normalisation|normalization
hospitalisation|hospitalization
modernisation|modernization
characterisation|characterization
authorisation|authorization
fertilisation|fertilization
initialisation|initialization
minimisation|minimization
maximisation|maximization
mobilisation|mobilization
monopolisation|monopolization
naturalisation|naturalization
neutralisation|neutralization
polarisation|polarization
prioritisation|prioritization
rationalisation|rationalization
revolutionisation|revolutionization
stabilisation|stabilization
subsidisation|subsidization
trivialisation|trivialization
visualisation|visualization
utilisation|utilization
summarisation|summarization
serialisation|serialization
synchronisation|synchronization
localisation|localization
categorisation|categorization
criminalisation|criminalization
decentralisation|decentralization
democratisation|democratization
dramatisation|dramatization
familiarisation|familiarization
generalisation|generalization
harmonisation|harmonization
idealisation|idealization
immunisation|immunization
legalisation|legalization
liberalisation|liberalization
materialisation|materialization
memorisation|memorization
personalisation|personalization
symbolisation|symbolization
terrorisation|terrorization
urbanisation|urbanization
vandalisation|vandalization
vaporisation|vaporization
victimisation|victimization
vocalization|vocalization
weaponisation|weaponization
aeroplane|airplane
aeroplanes|airplanes
ageing|aging
annexe|annex
artefact|artifact
artefacts|artifacts
axe|ax
cheque|cheque
cheques|checks
cosy|cozy
draughts|drafts
draught|draft
encyclopaedia|encyclopedia
foetus|fetus
gaol|jail
gauge|gage
kerb|curb
mould|mold
moulds|molds
mouldy|moldy
moulding|molding
moult|molt
moulting|molting
plough|plow
ploughs|plows
ploughed|plowed
ploughing|plowing
pyjamas|pajamas
sceptic|skeptic
sceptical|skeptical
scepticism|skepticism
storey|story
storeys|stories
sulphur|sulfur
tyre|tire
tyres|tires
waggon|wagon
whisky|whiskey
woollen|woolen
woollens|woolens
acclimatised|acclimatized
agonised|agonized
agonising|agonizing
amortised|amortized
anglicised|anglicized
appetising|appetizing
atomised|atomized
baptised|baptized
brutalised|brutalized
canonised|canonized
capitalised|capitalized
capitalising|capitalizing
caramelised|caramelized
categorised|categorized
categorising|categorizing
centralised|centralized
centralising|centralizing
civilising|civilizing
commercialised|commercialized
commercialising|commercializing
compartmentalised|compartmentalized
computerised|computerized
conceptualised|conceptualized
conceptualising|conceptualizing
containerised|containerized
crystallised|crystallized
demonised|demonized
demonising|demonizing
energised|energized
energising|energizing
epitomised|epitomized
externalisation|externalization
familiarised|familiarized
familiarising|familiarizing
fantasising|fantasizing
feminised|feminized
fictionalised|fictionalized
fluidised|fluidized
formalised|formalized
formalising|formalizing
fossilised|fossilized
galvanised|galvanized
galvanising|galvanizing
generalised|generalized
generalising|generalizing
homogenisation|homogenization
homogenised|homogenized
immortalised|immortalized
individualised|individualized
industrialised|industrialized
industrialising|industrializing
institutionalised|institutionalized
institutionalising|institutionalizing
internalised|internalized
internalising|internalizing
internationalised|internationalized
iodised|iodized
ionised|ionized
ionising|ionizing
italicised|italicized
itemised|itemized
jeopardised|jeopardized
jeopardising|jeopardizing
legitimised|legitimized
legitimising|legitimizing
liberalising|liberalizing
linearised|linearized
localised|localized
localising|localizing
magnetised|magnetized
materialised|materialized
mesmerised|mesmerized
mesmerising|mesmerizing
militarised|militarized
mineralised|mineralized
moisturising|moisturizing
moralising|moralizing
motorised|motorized
neutralising|neutralizing
ostracised|ostracized
oxidised|oxidized
oxidising|oxidizing
palletised|palletized
pasteurised|pasteurized
plagiarised|plagiarized
politicised|politicized
polymerisation|polymerization
popularised|popularized
popularising|popularizing
pressurised|pressurized
pressurising|pressurizing
prised|prized
proselytising|proselytizing
publicising|publicizing
pulverised|pulverized
radicalised|radicalized
rationalising|rationalizing
revitalised|revitalized
revitalising|revitalizing
revolutionising|revolutionizing
romanticised|romanticized
sanitised|sanitized
sanitising|sanitizing
scandalised|scandalized
scrutinised|scrutinized
scrutinising|scrutinizing
seised|seized
sensitisation|sensitization
sensitised|sensitized
sensitising|sensitizing
serialised|serialized
socialised|socialized
socialising|socializing
stylised|stylized
symbolising|symbolizing
synchronised|synchronized
synchronising|synchronizing
systematised|systematized
tantalising|tantalizing
theorised|theorized
theorising|theorizing
traumatised|traumatized
unionisation|unionization
unionised|unionized
urbanised|urbanized
victimised|victimized
westernised|westernized
palletised|palletized
accessorise|accessorize
acclimatise|acclimatize
advertise|advertize
baptise|baptize
capitalise|capitalize
categorise|categorize
centralise|centralize
commercialise|commercialize
conceptualise|conceptualize
crystallise|crystallize
demonise|demonize
economise|economize
empathise|empathize
energise|energize
epitomise|epitomize
familiarise|familiarize
fantasise|fantasize
formalise|formalize
galvanise|galvanize
generalise|generalize
glamorise|glamorize
institutionalise|institutionalize
internalise|internalize
internationalise|internationalize
jeopardise|jeopardize
legitimise|legitimize
localise|localize
materialise|materialize
moisturise|moisturize
oxidise|oxidize
plagiarise|plagiarize
politicise|politicize
popularise|popularize
pressurise|pressurize
prise|prize
revitalise|revitalize
sanitise|sanitize
scrutinise|scrutinize
sensitise|sensitize
socialise|socialize
synchronise|synchronize
tantalise|tantalize
theorise|theorize
vitalise|vitalize
